AuthorId,ConfirmedPaperIds,DeletedPaperIds
1096763,228 2037577 2027189 986609 1179929 1196865 1201565 1538645 1692993 1720523 1110099 193659 1256405 1421739 245487 259535 1546065 1753723 1848482 1946746 2096162 395061 1017587 421115 1093506 1221221 1281939 1413129 621650 1510651 1542669 1569166 1606820 663681 681020 1738976 719180 1748392 808059 2046636 2149645 2192492,44246 2007090 1334388 237369 1508158 2081727 383186 410910 1306951 1390017 1606277 1641289 1715740 709402 1821160 888347
189538,1296271 1105385 36311 37261 1143103 103757 1893926 2150325 153315 154003 970319 977408 1197403 1314681 1538593 299219 301470 1933990 977751 1024240 1030533 1038296 435136 1086206 1094354 1218534 1245741 1278009 1281369 1389343 1406435 1462865 621532 638701 690884 1741717 753599 1831409 767241 783263 1917979 2035979 847082 2072686 2131733,130582
194458,1910007 2079080 370651 479715 1192393 1416865 624526 1757676 1781624 815447 2035822,1155217 159311
1160475,113630 296945 959516,2204484 948406 408899
201787,991898 103228 1131795 202164 329039 340368 394704 397288 1021348 1086300 1164211 1168750 1335577 553253 1398577 1421608 1430824 1561837 650959 1687904 1688813 703997 726588 786697 2023058 2209713,1356513 1763406
1201517,218916 1113003,571494
1204460,1319856 569257 579939 2123339,2076445
204236,56473 2096051 62174 143095 1169626 202514 210094 1303127 1478595 1495447 1610917 329982 2035836 367993 2178417 2189981 1004613 431275 451413 1095105 1134645 1201035 1584537 663256 1756193 757933 780366 2038554,1267925 246403 409597 588323 613987 644461 1690723 852392 2256978
204972,271778,101523
1220050,152713 409988 429765 649706,979076 273705 2254699 531960 759933
210620,22114 1330268 66021 1044083 1104767 81006 92520 128104 180210 1158725 1273605 257882 1630845 314041 2198091 961628 420912 1110539 477376 497536 512327 1335035 561746 1457330 637059 1562041 678697 706270 1869057 1903434 2081660 2091850 2093274,495446
1243348,1032216 132144 384831,1111869 1635762
213037,1907531 578904 1600190 1679196,1162883 344652 1028479 462785 1564310 1843816
216439,1732447 293298 2177714 370642 463138 1891405 2006919,21575 53687 216512 220505 267454 1898641 2090089 2107228 2115957 2173859 2207454 960956 1068703 456131 461438 497451 1208266 1592183 1720059 717047 1742393 729122 735934 749004 1890638 2074605 856734 2093905 902547
1279218,1968865 354861 1739539 835003,936567
1282402,1683526,639365 1551148 2202600
1287927,160505 1233553 1528696 1705973 1304795 1468586 923085,100325
221346,211829 1938933 2240801,1189318 1630863 1872384 922233
223804,21917 1921697 61003 1211435 1794217 1865138 152438 1051729 1107009 1405799 315009 319851 2000347 2049588 515198 516443 519326 528343 1395909 1458088 1647308 681082 684768 685585 1728797 1904375 791890 832681 2061832 2208068,8094 92438 1877227 1956257 1608643 1610283 1617453 412335 1016805 426509 1040919 463857 1391179 665957 1947057 2111269 2157458 2200443
1333938,1644916 62352 110269 1139219 1725962 2030792 368810 1320841 554619 612690 633078 1555048 780100 2051524 2139099 907773,1644916 62352 75753 110269 148414 1139219 1725962 2030792 2030792 368810 1320841 554619 612690 1555048 780100 2051524 2139099 907773
1334990,1914646 1926967 2015224 225159 1068667 2253167,9047 2088035 1292444 100781 1510610 145449 959036 976694 1084665 188791 1397396 1402832 1474932 1761870 299585 316043 338688 356784 2185847 2246109 934630 389080 432418 444823 1097765 1318041 1386505 1423356 1439610 599193 1523384 638860 723189 1795922 744095 770761 1902101 1966270 2152093
230052,198548 1136389 1612172 1847995 811228 852723,940916 1943868 458281 1368022 632207 1754530 2018662
230608,1805340 1893548 196146 1291897 226433 1396407 239804 1606802 342278 930964 978563 1017105 429438 1042079 1070033 469228 492318 1213699 508562 1252840 1346229 564943 1371437 579406 1435824 600760 631747 1535348 1548946 1598152 673707 1737679 2029949 838346 2046967 854541 895255,26955 981235 1062512 81858 137199 1445521 337019 2034243 388022 965943 503826 526807 1291461 553756 616775 638245 659582 672171 724151 766898 2032146
233874,1289897 322544,128368 1392933 265452 960256 1553875 1660263
236106,958773 1353343 244079 250130 1576226 275454 290238 313008 432669 472915 714432 2124121,1997003 26061 1474131 1279415 1563730 270457 298925 1773960 2021619 348451 969323 400109 983027 409980 1091448 1184767 1357111 1382950 1467896 647708 743457 1807888 816767 1990907 1992523
1396855,13139 998730 44111 993172 2085566 2151914 218969 1529739 1597268 314229 1868041 324793 2077750 1014622 434092 549982 1744486 1948029 804493 2053833 2140932 2241016,1905280 2011569
1403372,2052217 130388 1308612 223030 1395777 1600790 1991302 970005 1032269 488759 1242061 1332188 1514088 1797704 1897999 1967500 2005731 834539 2047539 2115754,312593 666575
1410010,79291 101227 120531 997839 1062873 1087202 198654 207810 246787 1937784 1000425 429943 1112005 1277207 1318612 1422950 1425243 1527030 644973 1580059 1654098 696811 1693455 1853691 1862564 1950096 835710 851558 853308 874961 2145565 2196141,107623 1348546 1693455 1853691 2078054 2119444
239022,1711310 38475 2086526 114979 2206759 179380 1283509 1427200 247080 289652 352807 999825 415311 425844 1094121 1322812 572636 1490943 1509695 1510085 1705797 756065 1850142 2008146 2052796 2136541 893191 910015,1587210
239317,12045 2099760 249352 1571194 951111 476045 1237782 1286378 538872 1397561 619601 633218 721416 728280 1802177 790248 1978633 2167308,945536 843853
1419242,1066601 882323 925377,59246 980633 2132565 1879230 918494
242405,1523854 1616432 1124040 297007 317428 335915 377498 406325 523828 1285176 561567 597421 749928 751514 767581 1993716 2183429 904365 920385,936587
246452,19616 45176 104613 189138 1165832 270288 1693806 305003 382873 1006176 434796 1217134 1534650 663835 1874942 2014652 880287,173698 1467245 1374172 1396845 611348 1565564 1572206 1577053 733600 1888040 900914
1461138,1272357 2039897 949654 53187 2002877 93811 147098 147230 1388569 255395 1583815 946069 420719 1192161 1347133 1524237 635726 1741030 1883228 1904978,204130 2161069 1812660
249187,57551 59354 120668 1297525 238700 1843020 1987615 1007041 458052 1352615 562001 1426893 1442718 1442718 1513959 1546698 648151 653208 656079 1752450 1752450 1804169 1983714 2053840 2081051 2135682 2185424 915867,1231123 153898 493933 1442718 692942 1752450
250937,2021032 17764 48101 53742 1193791 1828896 177661 193208 1248608 1404075 1664804 1705604 1740359 296946 346106 483095 1229297 1257455 1289534 1348702 1404440 591755 1517811 1621941 1747137 739249 1795208 834950 2028473 2045538 866814 874262,1059608 4907 24822 79023 987369 191554 313831 1000541 1122151 1236846 1333664 1749335 1877988 1980159
1523798,10335 96243 1510615 655845 745012 2119508 900943,178321 465881 491167 578200 1960214 2134725 911008
1526044,120496 1256878,1683670
1554829,1681380 1644463 1102708 1160465 1687623 944747 165303 1093049 1219463 1441575 1491088 1689729 1736492 1919823 326866 2254194 397875 403120 1077032 476340 485997 1255098 549919 1365750 1459671 1496844 1543385 720049 728485 773186 1900574 2063255 2072513 888871 906690,2120290 178291 194609 2245837 435736 1140223 1368790 582768 1611555
1558688,128170 167867 985956 1023405 231441 254014 1926077 1023729 465241 514126 630514 743209 783668 2102145 2163228,1577934 1276875 677014
265641,1312773 1302014 1567685 2125839 2139130 34129 51688 70285 1042601 98230 1543749 1665218 118440 120338 1910465 1981453 943366 1057177 1274744 1938802 2041992 2175847 442655 1185843 1213186 525469 1305016 1458656 1460392 621699 1536154 641695 1653035 697421 698927 728361 1771792 1778486 1809564 1817840 757992 1880897 776426 1899698 791121 791740 1967232 1975917 886362 2156639 900236 912140,1886225 1002072 812660
1569685,226856 1983690,932452 1130537 1483915
1569989,1581489 971683 110947 1995141 2145482 1294782 1939888 1982673 359157 999361 1195725 1209594 1600974 815006 2043912,2156832 1048967 1936091 901074
1579253,47845 60549 83553 104322 2187433 983697 1375054 1428685 253633 289589 375719 1001651 1105530 1196182 1198074 1390908 1482562 637590 1568384 656356 1655904 1703137 1734356 1755505 2126652 2162504,1801340 1674130 1373730 1612236 2194040 2255459 478061 1206466 1978831 2035613 849694 854910
1582253,1767824 950712,1302059 134331 991476 215183 1386778 251129 1605784 324943 1926149 437044 447939 467997 1164899 504462 534282 1312432 550523 616103 837568 918524
1584872,2240936 80800 1190026 1242883 357257 448156 805673 814138 874960 919630,1052484 186366 1415145 290774 1273207 709088 875114 902565
272069,313267 580348,1319466 1133895 1718799 1849239 510288 1305634 625506 1794727 2029299 899175
272152,142939 256351 1580558 1658665 300588 1808842 1835192 2032334 2138458 369843 1060589 1097320 1131389 1236948 601959 639848 668617 1662367 694416 1781914 744583 881488 2194369,1651049
1616018,169696 1069318 188298 1757943 323451 691286 830204,453939 634599
275330,6667 27668 52014 1259763 243267 1858978 396127 1006276 470777 519982 1349865 1372395 585181 605035 1693610 1714883 1762311 811206 2009831 2113134,2180141 174411 1549870
1634914,33152 65771 205351 1343052 232678 1881318 1970580 1061088 522406 1501303 1564045 1798838 1845522 860348,1449603 111047 1719948 2178359 1246433 1252803 694283 737433 739707 2080801
277662,1997 1841221 1345146 1604723 113979 1760559 128008 165320 998564 1544320 310561 2175879 935370 998442 431126 1048353 1060567 1152054 1165419 490032 1191479 1247072 1247072 523319 1559750 1567487 1693779 749433 1870404 1983404 2071650,1247072 749938 2143654
1640893,2193748 163317 1690715 2019111 2023865 1047582 1122027 512218 567609 1392595 605176 629492 1660365 1796792 1875069 810729 824870 2090467 2117346 2147349,32782 1346088 1588052 1132842 1935499 204565 299896 1896056 1089550 1253426 1278934 567488 2176211
278382,1460665 1511764 119252 1773835 1197797 1518898 1614445 989508 1232182 573844 620395 1510216 656770 1666505 776956 1947124 2220046,1589607 2150284 1608458 362780 368127 2222499 1277719 559689 1500037 1777886 1849398 2043299 927771
278812,1328839 2099902,984260 1766761 2039733
1644326,1176363 1177099 268163 309283 615456 1639640 676354 719765 1892578 2047042,56661 139311 526644 574282 688105 725037 758103 788411
1647016,1210984 974316 161747 1176729 1674099 1678755 2155987 372750 1001112 425967 1064751 482506 1434198 1533575 1740255 1894564 911455,1078782
1664515,221779 1363217 2111960 428624 1467630 1560597 2096256,2190550 1155761 392822 1227238
1679548,1696436 49134 1012255 589222,1870506
287982,37953 191617 237273 1517853 1740143 1819760 2010796 949408 431224 1064675 1293080 1316411 567633 1398858 637302 1567064 1693634 1760526 1833301 1871636,626389 1536194
1717330,986026 1268056 1639528 1937980,93378 326510 364980 1057276 1926136 861378
1749905,1855783 1743487 114016 1429053 1439509 333238 1200982 589004 1508375 1523977 726363 832200 851763 2078785 856224 912298,1020761
296989,1770434 1505922,1239869 163181 1431291 1498561 1624839 1869274 331069 368505 1038265 1778400 1914711 825836
1754450,1385962 58604 58604 1188380 98579 2028209 192642 192642 272049 272049 1640868 2015718 2015718 439030 1171868 1205133 520772 1493149 799210 1956514 1993837 2046183 2046183 2123699 927467 927467,1704614 33763 36944 62247 128326 134089 161953 1067601 200802 1497788 259296 353832 1029551 1141911 1184430 1200026 1293387 1318173 1408362 1530993 1590985 1669722 713171 1915853 1922276 795231 2018107 2117324 883049 2199592
1757814,48666 982565 1224720 594897 655180 1613739 1932461,1420277 1493781 1597790 73952 1431199 1846981 315245 1913323 335329 360902 410740 1146277 570800 638329 721487 895658
1777700,8934 8934 30046 1245172 2001434,1347309 54232 89955 96679 1578871 115993 128494 161398 1075463 1128942 1190002 1605712 1625645 1702577 947365 461977 588233 594862 782948 859300
1782447,165867 297110 396410 719460 1989464,779781
302965,10258 105958 1735274 1940610 1473284,5440 47412 98970 1620423 1895591 2225046 1197463 1439114 1533316 322590 464382 1447725 1465656 1491658 636420 1621959 1732538 1760013 1796198 1817507 1903523 1977532 2064941 2079684 2140628 2141658 2219631
303689,4213,1965326 2193643 1462001 1093929 1193229 1343237
1806942,64002 74578 1218717 1132348 1187629 1394953 1843087 1905763,1187629
